WGSID	OUTBREAK
PNUSAS019083	1704MLTDK-1
PNUSAS019086	1704MLTDK-1
PNUSAS019122	1704MLTDK-1
PNUSAS019152	1704MLTDK-1
PNUSAS019166	1704MLTDK-1
PNUSAS019318	1704MLTDK-1
PNUSAS019324	1704MLTDK-1
PNUSAS019363	1704MLTDK-1
PNUSAS019366	1704MLTDK-1
PNUSAS019404	1704MLTDK-1
PNUSAS019431	1704MLTDK-1
PNUSAS019453	1704MLTDK-1
PNUSAS019462	1704MLTDK-1
PNUSAS019472	1704MLTDK-1
PNUSAS019523	1704MLTDK-1
PNUSAS019550	1704MLTDK-1
PNUSAS019615	1704MLTDK-1
PNUSAS019634	1704MLTDK-1
PNUSAS019637	1704MLTDK-1
PNUSAS019638	1704MLTDK-1
PNUSAS019639	1704MLTDK-1
PNUSAS019640	1704MLTDK-1
PNUSAS019641	1704MLTDK-1
PNUSAS019642	1704MLTDK-1
PNUSAS019643	1704MLTDK-1
PNUSAS019644	1704MLTDK-1
PNUSAS019646	1704MLTDK-1
PNUSAS019660	1704MLTDK-1
PNUSAS019669	1704MLTDK-1
PNUSAS019741	1704MLTDK-1
PNUSAS019798	1704MLTDK-1
PNUSAS019839	1704MLTDK-1
PNUSAS019939	1704MLTDK-1
PNUSAS019979	1704MLTDK-1
PNUSAS019984	1704MLTDK-1
PNUSAS019987	1704MLTDK-1
PNUSAS019999	1704MLTDK-1
PNUSAS020041	1704MLTDK-1
PNUSAS020056	1704MLTDK-1
PNUSAS020093	1704MLTDK-1
PNUSAS020098	1704MLTDK-1
PNUSAS020200	1704MLTDK-1
PNUSAS020213	1704MLTDK-1
PNUSAS020215	1704MLTDK-1
PNUSAS020221	1704MLTDK-1
PNUSAS020230	1704MLTDK-1
PNUSAS020232	1704MLTDK-1
PNUSAS020259	1704MLTDK-1
PNUSAS020262	1704MLTDK-1
PNUSAS020287	1704MLTDK-1
PNUSAS020298	1704MLTDK-1
PNUSAS020399	1704MLTDK-1
PNUSAS020476	1704MLTDK-1
PNUSAS020528	1704MLTDK-1
PNUSAS020581	1704MLTDK-1
PNUSAS020583	1704MLTDK-1
PNUSAS020661	1704MLTDK-1
PNUSAS020688	1704MLTDK-1
PNUSAS020806	1704MLTDK-1
PNUSAS020919	1704MLTDK-1
PNUSAS020952	1704MLTDK-1
